sample_id,split,category,truth_topology_id,canonical_key,coverage_status,truth_covered,truth_graph_in_current_prior,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,truth_is_observationally_nonunique,grid_id,scenario_id,configuration_hash
test_cont_G001_01,test,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",covered,1,1,"{G001}",1,"{G001}",1,0,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
test_cont_G001_02,test,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",covered,1,1,"{G001}",1,"{G001}",1,0,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
test_cont_G001_03,test,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",covered,1,1,"{G001}",1,"{G001}",1,0,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
test_cont_G001_04,test,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",covered,1,1,"{G001}",1,"{G001}",1,0,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
test_cont_G001_05,test,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",covered,1,1,"{G001}",1,"{G001}",1,0,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
test_cont_G001_06,test,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",covered,1,1,"{G001}",1,"{G001}",1,0,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
test_grid_G001_01,test,in_library_grid,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",covered,1,1,"{G001}",1,"{G001}",1,0,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
test_grid_G001_02,test,in_library_grid,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",covered,1,1,"{G001}",1,"{G001}",1,0,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
test_cont_G002_01,test,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",covered,1,1,"{G002,G005}",2,"{G002,G005}",2,1,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
test_cont_G002_02,test,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",covered,1,1,"{G002,G005}",2,"{G002,G005}",2,1,A_stage4a1_quick61,P0_no_prior,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
