relative_path,sha256,size_bytes,artifact_type
results/data/stage7a_6/smoke_v3/budget_17/calibration.csv,8dde3f024f99297396823cdfc00bfc0b5ed8bceddd7bba2d50b2e38388e19d63,1427,csv
results/data/stage7a_6/smoke_v3/budget_17/candidate_audit.csv,33331ac26f56aa75e1b13e5ecb55f7767aa9b6619682cf54fe1a9bb4d47c4ddb,121796,csv
results/data/stage7a_6/smoke_v3/budget_17/config_snapshot.mat,20d4bcd0b1e70e0fbf1e6ac2f161de68d24b18bfa1c3f3f839fed179426268a5,3927,mat
results/data/stage7a_6/smoke_v3/budget_17/metadata.csv,94ed1cd92c7838938ad6ef12e936875a92c5e33b1035392f1c61e96f93c84145,581,csv
results/data/stage7a_6/smoke_v3/budget_17/samples.csv,055d0d629d324a34f9385920992e1ec362e5cf4fc1b78139d73a80564c0cd2d2,42186,csv
results/data/stage7a_6/smoke_v3/budget_17/seed_manifest.csv,9ff01035557f7e6c0acdca71eba7e2cd35b5770fc1ab2e0426edbad97c217dbf,195,csv
results/data/stage7a_6/smoke_v3/budget_17/source_inventory.csv,b689c5f4b841a95aefb9613b87139a99ff8d54aa1f7fc0f54c8c954627631423,1482,csv
results/data/stage7a_6/smoke_v3/budget_17/summary.csv,6f349b154a829a79978eb8c7c69b1a514ce56d1f797f57ea3cb41d6c2fc753c7,3810,csv
results/data/stage7a_6/smoke_v3/budget_17/topology_inventory.csv,2b9ef952e5716fbd0cd037d48001493259233d7970fa825c1e6e4638b2fe8b86,1376,csv
results/data/stage7a_6/smoke_v3/budget_17/topology_summary.csv,664c34bd6453f465dbb8b1f45ccf73c2ea64b68b91a0a7d351c0b3913f33d481,7107,csv
